applicant_id,age,gender,marital_status,education_level,employment_type,years_employed,annual_income,monthly_income,income_stability_score,has_co_signer,num_dependents,credit_score,credit_history_length_years,num_open_accounts,num_credit_inquiries_6m,debt_to_income_ratio,previous_defaults,bankruptcy_history,loan_amount,loan_term_months,loan_purpose,interest_rate,has_collateral,loan_to_value_ratio,savings_balance,checking_balance,investment_portfolio_value,monthly_expenses,has_direct_deposit,application_date,application_channel,relationship_tenure_years,defaulted
APP_00000001,40,Male,Single,High School,Unemployed,2,47091.0,3924.25,5,No,1,690.0,6,12,1,40.47,0,No,21645.0,120,Car,9.03,Yes,38.92,33611.07,1658.48,5023.84,2952.21,Yes,2023-09-29,Online,1,Yes
APP_00000002,25,Female,Single,Master,Full-time,5,106967.0,8913.92,7,No,1,648.0,1,6,1,8.46,0,No,42806.0,36,Home,7.98,No,67.32,2759.68,5001.68,15272.76,5318.34,Yes,2023-12-22,Online,0,No
APP_00000003,49,Female,Single,High School,Full-time,2,49860.0,4155.0,8,No,0,768.0,0,11,1,24.93,0,No,45674.0,84,Car,6.78,No,75.66,45724.84,8146.81,53611.86,1951.49,Yes,2023-12-03,Online,19,No
APP_00000004,37,Male,Married,High School,Full-time,5,61767.0,5147.25,9,Yes,1,850.0,1,6,0,20.15,0,No,34997.0,120,Home,10.35,Yes,84.35,22240.86,113.53,554.25,2845.05,No,2023-05-26,Online,0,No
APP_00000005,44,Male,Married,Bachelor,Part-time,2,99917.0,8326.42,6,No,0,730.0,3,11,2,21.51,0,No,11392.0,84,Business,6.68,Yes,60.51,,5752.09,7490.29,,Yes,2023-11-08,Branch,7,No
APP_00000006,21,Male,Single,Bachelor,Full-time,12,36606.0,3050.5,10,No,3,742.0,15,4,2,34.48,0,Yes,18783.0,60,Business,11.49,Yes,33.53,1309.19,6696.38,11330.7,1381.0,Yes,2023-10-31,Online,0,No
APP_00000007,61,Female,Divorced,Bachelor,Retired,7,30763.0,2563.58,9,No,0,804.0,16,6,5,34.23,0,No,46084.0,24,Home,5.45,No,46.67,55382.08,51.66,13767.64,2237.47,No,2023-12-23,Online,6,No
APP_00000008,21,Female,Single,Bachelor,Full-time,10,24909.0,2075.75,8,Yes,0,565.0,9,5,2,31.36,1,Yes,11318.0,24,Debt Consolidation,9.5,Yes,64.4,11019.05,3819.86,4222.04,846.98,Yes,2023-02-24,Online,4,Yes
APP_00000009,23,Female,Divorced,Master,Full-time,2,43922.0,3660.17,6,Yes,1,725.0,4,7,0,22.14,0,No,42857.0,120,Home,9.92,Yes,73.41,,9196.53,18890.67,2945.6,No,2023-02-12,Branch,1,No
APP_00000010,26,Male,Single,Master,Full-time,1,40513.0,3376.08,6,No,3,598.0,8,6,2,16.14,0,No,7468.0,84,Home,6.88,No,98.77,16326.46,7124.45,4160.85,2560.84,Yes,2023-08-23,Online,0,No
APP_00000011,47,Female,Married,PhD,Part-time,3,41535.0,3461.25,7,No,1,605.0,15,4,3,18.11,0,No,23620.0,24,Home,5.68,Yes,16.36,15146.26,2718.63,51082.05,2809.76,Yes,2023-04-17,Branch,3,No
APP_00000012,35,Male,Single,High School,Full-time,5,72582.0,6048.5,7,Yes,0,581.0,5,4,0,42.88,0,No,23112.0,36,Home,7.98,Yes,50.99,8080.31,992.24,6088.19,2919.58,No,2023-01-30,Branch,2,Yes
APP_00000013,59,Male,Married,High School,Part-time,2,33407.0,2783.92,5,No,1,,2,9,2,32.7,0,No,25029.0,72,Home,10.59,No,68.39,3906.76,5332.51,2575.07,1849.65,Yes,2023-07-09,Phone,2,No
APP_00000014,44,Female,Married,High School,Full-time,0,135124.0,11260.33,8,No,2,730.0,7,5,3,4.6,1,No,40938.0,48,Debt Consolidation,10.21,No,35.67,570.54,2465.43,3726.16,9273.26,No,2023-09-04,Online,0,No
APP_00000015,32,Female,Single,Bachelor,Full-time,5,75473.0,6289.42,6,No,0,669.0,8,10,3,36.52,0,No,15882.0,240,Debt Consolidation,3.57,Yes,43.83,378.39,12458.05,37479.14,3547.14,Yes,2023-04-05,Online,1,No
APP_00000016,46,Female,Divorced,Bachelor,Full-time,2,82044.0,6837.0,10,No,1,710.0,6,9,4,24.19,0,No,26193.0,24,Education,8.51,Yes,42.61,26076.31,1504.51,620.08,3354.0,No,2023-02-11,Branch,3,No
APP_00000017,38,Male,Married,Master,Full-time,0,25344.0,2112.0,6,No,2,654.0,10,7,2,29.62,0,No,28196.0,36,Home,7.68,Yes,83.73,6684.17,3189.44,108887.56,1846.54,Yes,2023-05-26,Online,0,No
APP_00000018,24,Male,Single,Bachelor,Full-time,5,23979.0,1998.25,7,No,2,605.0,8,8,2,1.82,1,No,24265.0,36,Home,5.53,Yes,56.96,2075.4,1529.84,13695.68,1599.16,Yes,2023-10-13,Branch,9,Yes
APP_00000019,21,Female,Married,Bachelor,Full-time,7,22296.0,1858.0,8,No,1,705.0,28,7,1,25.8,0,No,12379.0,360,Personal,7.49,No,47.88,4330.99,7729.51,13815.92,1587.55,Yes,2023-12-13,Online,3,No
APP_00000020,30,Female,Single,High School,Retired,2,45149.0,3762.42,7,Yes,2,670.0,0,8,2,28.52,0,No,11234.0,240,Home,4.86,No,21.46,4782.54,121.81,42390.06,3374.83,Yes,2023-04-28,Online,0,No
APP_00000021,43,Female,Married,High School,Full-time,4,70148.0,5845.67,7,No,1,765.0,7,4,2,51.97,1,No,26404.0,72,Car,12.35,Yes,75.43,1820.7,2178.58,5916.41,3276.92,Yes,2023-11-28,Online,8,Yes
APP_00000022,26,Male,Single,Master,Self-employed,0,64878.0,5406.5,10,No,0,672.0,19,17,0,23.25,0,No,32191.0,36,Home,4.35,No,27.41,22159.03,17768.73,4348.17,2472.56,Yes,2023-04-26,Online,2,No
APP_00000023,34,Male,Married,High School,Self-employed,10,41450.0,3454.17,10,No,1,489.0,32,10,5,32.15,1,No,30897.0,36,Business,5.17,No,45.32,3346.48,11846.84,33590.9,1829.61,Yes,2023-03-11,Branch,11,Yes
APP_00000024,34,Male,Married,Master,Full-time,22,33924.0,2827.0,6,No,1,702.0,11,10,1,17.91,0,No,12775.0,84,Car,13.38,No,87.06,1647.76,11446.93,4055.39,1692.05,Yes,2023-01-09,Online,7,No
APP_00000025,21,Male,Married,Master,Self-employed,0,45547.0,3795.58,9,No,2,687.0,6,8,1,21.69,1,No,30095.0,360,Business,2.3,No,47.74,4768.08,4823.52,16518.97,2468.21,Yes,2023-08-31,Online,14,No
APP_00000026,51,Female,Single,Master,Part-time,1,129417.0,10784.75,3,No,1,850.0,0,7,1,23.76,1,No,10284.0,36,Personal,2.21,No,67.67,24669.84,20586.47,18721.84,8189.79,No,2023-10-05,Branch,10,Yes
APP_00000027,24,Female,Married,High School,Full-time,3,61685.0,5140.42,10,Yes,5,,2,7,3,26.77,1,No,23806.0,72,Personal,8.37,Yes,84.79,3036.66,7713.45,9958.69,4143.41,Yes,2023-03-07,Online,0,Yes
APP_00000028,49,Male,Married,PhD,Full-time,1,142050.0,11837.5,6,No,0,746.0,1,12,3,36.04,0,No,25121.0,48,Car,1.59,No,73.39,16367.17,399.52,9293.68,7038.88,Yes,2023-07-20,Online,9,No
APP_00000029,43,Female,Divorced,High School,Self-employed,4,140281.0,11690.08,5,No,0,642.0,2,7,0,12.76,0,No,41296.0,60,Debt Consolidation,6.25,No,70.49,4000.22,6619.2,9748.97,6675.86,Yes,2023-08-22,Online,6,No
APP_00000030,40,Male,Married,Bachelor,Full-time,5,40040.0,3336.67,9,No,4,659.0,4,12,6,38.31,0,No,35065.0,72,Car,6.85,No,41.13,934.68,4671.61,83807.14,2976.68,No,2023-03-23,Online,3,Yes
APP_00000031,44,Male,Single,High School,Full-time,5,46560.0,3880.0,6,No,0,677.0,2,10,4,36.07,0,No,28470.0,60,Car,13.3,No,73.28,18999.27,2644.39,40.81,1910.8,Yes,2023-09-25,Online,12,Yes
APP_00000032,35,Female,Married,Master,Part-time,0,36481.0,3040.08,10,No,1,681.0,12,7,2,20.7,0,No,43722.0,36,Education,10.31,No,70.71,9858.78,2516.49,41650.43,2697.83,No,2023-09-06,Branch,2,No
APP_00000033,36,Female,Single,High School,Full-time,2,105980.0,8831.67,4,No,1,613.0,8,8,2,12.56,1,No,21202.0,84,Car,8.02,No,75.27,8430.97,5112.34,60924.96,4440.19,Yes,2023-02-14,Online,2,No
APP_00000034,32,Male,Single,High School,Part-time,4,19957.0,1663.08,6,No,0,715.0,3,11,3,7.21,0,No,27259.0,24,Education,5.98,Yes,78.5,8501.24,701.04,11205.13,1040.85,Yes,2023-11-22,Online,0,Yes
